id,question_stem,choices,answer_key,scientific_concept,raw_concept_output,free_form_analogy,is_defective,defect_reason,generation_status,teacher_model,domain,mmlu_subject,source_index,original_free_form_analogy,analogy_source_id,analogy_source_question_stem,analogy_source_domain,analogy_assignment_condition,analogy_shuffle_seed
mmlu_0000_college_biology,"Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to",A: maintain the population at a point corresponding to the midpoint of its logistic curve | B: opt for zero population control once the K value of the curve has been reached | C: reduce the carrying capacity cif the environment to lower the K value | D: increase the mortality rate,C,Logistic Growth Model,"{""key_scientific_concept"": ""Logistic Growth Model""}","Think of a grand, ancient ballroom where atoms dance. Each dancer (an electron) can only move between specific spots on the floor—these are the ""energy levels."" The ballroom has a strict, invisible rulebook enforced by a stern conductor (the photon field). 

The rule is not about *where* you can dance, but *how* you can move. You cannot simply glide from any spot to any other. The conductor only allows certain, dramatic leaps—say, a pirouette that changes your spin by exactly one turn, or a jump that shifts your ""angular momentum"" by one unit. These allowed moves are the **Selection Rules**.

If a dancer tries a forbidden step—like a sideways shuffle that doesn't change their spin—the conductor refuses to play the music. No photon is emitted or absorbed. The transition is ""forbidden."" It’s not that the dancer *can't* physically do it, but the orchestra (the electromagnetic field) will not accompany them. The dance simply doesn't happen.

Sometimes, a dancer attempts a forbidden move anyway, but it’s so weak and clumsy that the conductor barely notices—this is a ""forbidden"" transition that occurs very slowly, like a faint, hesitant whisper of light.

So, Selection Rules are the ballroom's etiquette for quantum leaps. They dictate which energy-level changes are allowed to produce or absorb light, and which are silent, invisible, and simply not part of the grand, glowing waltz of the atom.",False,,generated,deepseek-v4-flash,biology,college_biology,0,"**The All-You-Can-Eat Buffet (with a Catch)**  

Imagine a brand-new buffet restaurant opens in a small town. On day one, the first few customers arrive, and word spreads fast. Each new customer tells two friends, who each tell two more. The line grows *explosively*—doubling, tripling, nearly out of control. This is **exponential growth**: the more people there are, the faster the crowd swells.  

But the buffet has a fixed number of tables, a limited kitchen, and only so much food. Soon, the restaurant hits its **carrying capacity**—the maximum number of diners it can serve comfortably. Now, new customers still arrive, but the line moves slower. Tables are full, so people wait. The kitchen struggles to refill trays. Growth *slows down* dramatically.  

At first, the crowd grew like a wildfire. Now, it’s more like a dripping faucet. The number of diners keeps increasing, but by smaller and smaller amounts each day. Eventually, the restaurant reaches a steady state: the number of people entering equals the number leaving. The population of diners plateaus at the buffet’s limit.  

This is the **logistic growth model**: a population starts with rapid, near-exponential growth, then feels the squeeze of limited resources (space, food, time), and finally levels off at a sustainable maximum. The buffet isn’t empty, but it’s no longer overflowing—it’s found its balance.  

*Just like the diners, real populations (bacteria, deer, even human cities) follow this S-shaped curve: boom, then brake, then balance.*",mmlu_0081_college_physics,"Consider an electron in the n = 4, l = 1 state in hydrogen. Which of the following final states can NOT be reached by an allowed transition?",physics,cross_domain_random_analogy,42
mmlu_0000_college_chemistry,"The rate, r, of a zero-order chemical reaction A → B can be expressed as which of the following?",A: r = k ln[A] | B: r = k [A]^2 | C: r = k [A] | D: r = k,D,Zero-Order Reaction Rate,"{""key_scientific_concept"": ""Zero-Order Reaction Rate""}","Think of a vast, ancient library where every living thing on Earth has a biography. For a long time, librarians sorted all books into two giant rooms: the Bacteria Room and the Eukaryote Room (which held plants, animals, and fungi). It seemed simple.

But one day, a curious librarian noticed that some books in the Bacteria Room were written in a strange, alien script. These microbes—the archaea—looked like bacteria under a magnifying glass, but their internal ""grammar"" (their genetic code) was fundamentally different. They were as different from regular bacteria as a book of poetry is from a car repair manual.

So, the head librarian decided to reorganize the entire library. Instead of two rooms, she created three grand wings, based not on how the books looked, but on the *language* they were written in.

- **Wing One: Bacteria.** The familiar, everyday microbes—the ones that help us digest food or cause a sore throat. Their ""language"" is simple and ancient.
- **Wing Two: Archaea.** The extremists—thriving in boiling hot springs, acid pools, or deep-sea vents. Their ""language"" is a bizarre hybrid, sharing some words with bacteria and some with the third wing.
- **Wing Three: Eukarya.** The ""fancy"" wing, containing all organisms with complex cells—protists, fungi, plants, and animals (including us). Their ""language"" is rich and elaborate, with a nucleus as a central ""library vault.""

This new system, the Three-Domain Classification, revealed the true family tree of life. It showed that archaea and eukaryotes are actually close cousins, while bacteria are distant relatives. The library wasn't just reorganized; it was finally understood.",False,,generated,deepseek-v4-flash,chemistry,college_chemistry,0,"Imagine a crowded nightclub with a single, very slow bouncer at the door. The bouncer’s job is to check IDs, but he does it at a fixed, glacial pace—exactly one person every two minutes, no matter what. 

Inside, the dance floor is packed with hundreds of people. The bouncer’s rate of checking IDs doesn’t speed up because the line is long, nor does it slow down when the line is short. He is completely oblivious to the crowd size. Whether there are 500 people inside or just 5, he still checks exactly one ID every two minutes. 

This is a **zero-order reaction**. The ""reaction"" is the bouncer checking IDs (the reactant being the people waiting). The rate—one person per two minutes—is **constant and independent of the concentration** of the reactant (the number of people). 

The only thing that changes is the *time it takes to finish*. With 500 people, it takes 1,000 minutes. With 5 people, it takes just 10 minutes. But the *speed* of the process never wavers. 

In chemistry, this happens when a reaction is limited by a catalyst or a surface that is already saturated—like the bouncer’s single clipboard. Adding more reactant (more people) doesn’t help because the bottleneck is the bouncer’s fixed capacity, not the supply of people. The reaction proceeds at a steady, linear pace until the reactant is suddenly gone, dropping to zero in an instant.",mmlu_0014_college_biology,"In one taxonomic classification, Archaea, Eukarya, and Bacteria represent the three major domains of life. Eukarya utilize the general transcription factors TBP (TATA-binding protein) and TFIIB in transcription, whereas Bacteria do not. At least one member of Archaea has a protein similar to TBP and a protein similar to TFIIB. Based on this observation, which of the following scenarios is most likely?",biology,cross_domain_random_analogy,42
mmlu_0000_college_physics,"The quantum efficiency of a photon detector is 0.1. If 100 photons are sent into the detector, one after the other, the detector will detect photons","A: an average of 10 times, with an rms deviation of about 4 | B: an average of 10 times, with an rms deviation of about 3 | C: an average of 10 times, with an rms deviation of about 1 | D: an average of 10 times, with an rms deviation of about 0.1",B,Quantum Efficiency,"{""key_scientific_concept"": ""Quantum Efficiency""}","Imagine a bustling city where a single emergency call can mobilize a coordinated response across entire neighborhoods. In your cells, the **IP3 calcium signaling pathway** is that emergency dispatch system.

The **cell membrane** is the city’s outer wall. A **hormone or growth factor** (the emergency caller) knocks on a receptor—the **dispatcher**—at the wall. The dispatcher doesn’t run into the city; instead, it sends a messenger, **IP3** (a small molecule), through the cytoplasm. IP3 is the **courier** who races to a specific warehouse: the **endoplasmic reticulum (ER)**, the cell’s internal calcium storage tank.

The ER’s wall has special doors called **IP3 receptors**. When IP3 arrives, it unlocks these doors, and **calcium ions (Ca²⁺)**—the city’s **firefighters**—flood out into the cytoplasm. This sudden surge of calcium is the signal. It doesn’t just sit there; it spreads like a wave, activating other calcium-sensitive proteins (the **response teams**) that trigger specific actions: muscle contraction, neurotransmitter release, gene expression, or cell growth.

The beauty is in the **amplification**: one knock on the outer wall leads to thousands of calcium ions released inside. And just as a city needs cleanup crews, the cell uses **pumps** to rapidly suck calcium back into the ER, resetting the system. If the courier (IP3) is blocked or the doors are jammed, the signal fails—leading to diseases like heart arrhythmias or cancer. So, IP3 is the key, calcium is the fire, and the ER is the fire station.",False,,generated,deepseek-v4-flash,physics,college_physics,0,"Imagine a **mail-sorting facility** where workers receive envelopes (photons) and must place them into labeled bins (electrical signals). 

**Quantum Efficiency (QE)** is not about how *fast* the workers sort, but about how *accurately* they convert incoming mail into the correct bin. 

In a perfect facility, every single envelope that arrives gets sorted. That’s a QE of 100%. But real facilities have flaws. Some envelopes are torn, some are blank, and some workers are distracted. 

Now, think of a **solar panel** or a **camera sensor**. Every photon that hits it is an envelope. The panel’s job is to convert that photon into an electron (the sorted bin). If 100 photons hit the panel, but only 80 produce electrons, the QE is 80%. The other 20 photons were either reflected off the surface (like a slippery envelope), passed straight through (like a see-through one), or their energy was wasted as heat (like a worker crumpling a letter).

Crucially, QE is **wavelength-dependent**. A red envelope might be easy to see, but a blue one might be too dark for the worker to read. So a sensor might have a QE of 90% for green light, but only 30% for deep red light. 

The key takeaway: **Quantum Efficiency measures the *success rate* of the photon-to-electron conversion process.** It’s the facility’s ""percentage of correctly sorted mail,"" not its speed. A high QE means the device is a brilliant, meticulous sorter—wasting almost no incoming light. A low QE means it’s a sloppy facility, losing valuable information with every missed envelope.",mmlu_0003_college_biology,Which of the following is a second messenger that stimulates release of calcium ions into the cytoplasm?,biology,cross_domain_random_analogy,42
mmlu_0001_college_biology,A frameshift mutation is created when,A: telomeric sequences are removed from DNA | B: a codon's nucleotide sequence changes so that it calls for production of a different amino acid than the original one | C: a base pair is either inserted or deleted in a gene | D: a codon's nucleotide sequence is changed so that instead of coding for a given amino acid it acts to terminate translation,C,Frameshift Mutation Mechanism,"{""key_scientific_concept"": ""Frameshift Mutation Mechanism""}","Imagine a figure skater spinning on ice. This is the heart of angular momentum. When the skater pulls their arms in, they spin faster; when they stretch their arms out, they slow down. The ""spin"" itself—a combination of mass, speed, and distance from the center—is conserved. Nothing is lost; it just redistributes.

Now, replace the skater with a planet, and the ice rink with the vast emptiness of space. The planet is the skater, and the Sun is the center of the spin. The planet's ""arms"" are its distance from the Sun. As it orbits, it constantly ""pulls in"" and ""stretches out"" its arms—not by moving closer, but by changing its speed. When a planet swings near the Sun (perihelion), it pulls its arms in and speeds up. When it drifts far away (aphelion), it stretches out and slows down. The total ""spin"" of the orbit—its angular momentum—remains perfectly balanced.

But here's the beautiful twist: the skater's spin is a closed loop. A planet's orbit is a closed loop too, but it's not a perfect circle. It's an ellipse. The skater's arms are always changing, but the *amount* of spin never changes. This is why a comet can dive close to the Sun, whip around at incredible speed, and then slingshot back out to the frozen depths, only to slow down and return. The orbit is a dance of give and take, where the universe's most fundamental rule is: you can change *how* you spin, but you can never change *how much* you spin.",False,,generated,deepseek-v4-flash,biology,college_biology,1,"Imagine a librarian meticulously transcribing a cookbook, but instead of copying words, she copies the letters in groups of three—each triplet spelling a ""word"" that codes for an ingredient. The recipe reads: ""THE RED FOX ATE THE EGG."" She writes: THE RED FOX ATE THE EGG.

Now, a careless visitor sneezes and knocks a single letter off the page—say, the ""E"" in ""THE."" The librarian, unaware, picks up her pen and continues from the next visible letter. But she still groups letters in threes. The new sequence becomes: ""HER EDF OXA TET HEE GG."" Suddenly, every triplet after the missing letter is scrambled. ""HER"" is nonsense, ""EDF"" is nonsense, and the entire rest of the recipe is gibberish. The egg becomes a toxic sludge, the fox turns purple, and the dish is ruined.

This is a **frameshift mutation**. The ""reading frame"" is the fixed triplet grouping. A deletion (or insertion) of one or two nucleotides shifts the entire downstream sequence by one or two spaces, like a misaligned typewriter. Every codon after the mutation is changed, producing a completely different, often nonfunctional protein. It’s not just one wrong word—it’s a catastrophic domino effect that scrambles the whole story from that point onward. The only way to fix it is to delete or insert a matching number of letters to restore the original frame, but cells rarely do that. So, the recipe is lost, and the cell’s function is broken.",mmlu_0094_college_physics,"Two identical satellites, A and B, are in circular orbits around Earth. The orbital radius of A is twice that of B. Which of the following gives the ratio of the angular momentum of A to the angular momentum of B?",physics,cross_domain_random_analogy,42
mmlu_0001_college_chemistry,Infrared (IR) spectroscopy is useful for determining certain aspects of the structure of organic molecules because,A: all molecular bonds absorb IR radiation | B: IR peak intensities are related to molecular mass | C: most organic functional groups absorb in a characteristic region of the IR spectrum | D: each element absorbs at a characteristic wavelength,C,Infrared Absorption Spectroscopy,"{""key_scientific_concept"": ""Infrared Absorption Spectroscopy""}","Imagine a **theater company** that performs a single, epic play called *Life*. But this company has a strange rule: it must alternate between two completely different troupes to tell the story.

**Act One: The Spore Troupe (The Haploid Generation)**
This troupe is small, simple, and travels light. Each actor carries only *one* copy of the script (one set of chromosomes). They are the ""spores."" They perform a quiet, minimalist show—often just a tiny green mat (like moss) or a delicate fern prothallus. Their job is not to be flashy, but to *reproduce* by simply splitting their single script. When they do, they release new actors (spores) that drift away. But here’s the catch: they can never perform the grand finale. They are incomplete.

**Act Two: The Spore Grows Up (The Diploid Generation)**
When a spore lands in a good spot, it doesn't just stay small. It *merges* its single script with another spore's script. Now, the company has a full, double script (two sets of chromosomes). This is the **Sporophyte**—the star of the show. This troupe is large, complex, and spectacular. Think of a towering oak tree or a giant kelp. This troupe’s entire purpose is to create the *next* generation of simple spores by dividing its double script back down to single copies.

**The Eternal Cycle**
The grand tree (Sporophyte) releases tiny spores. Those spores grow into the humble mat (Gametophyte). The mat produces sperm and egg, which fuse to create a new tree. The play never ends—it just switches casts. One generation is the quiet, single-scripted prologue; the next is the loud, double-scripted main act. Neither can exist without the other. That’s alternation of generations: a life cycle that must flip between a simple, single-copy form and a complex, double-copy form to survive.",False,,generated,deepseek-v4-flash,chemistry,college_chemistry,1,"**The Library of Molecular Fingerprints**  

Imagine a vast library where every book is a molecule. You can’t read the text, but you can identify each book by its unique “binding style”—the way its pages, covers, and glue vibrate when you tap them.  

Now, you’re a detective with a special flashlight that shines **invisible, warm light** (infrared). You walk down the aisles, shining this light on every book. Most books absorb only a few specific colors of this warm light—each color corresponds to a particular vibration: a stretch of the spine, a bend of a page, a twist of the thread.  

When a book absorbs a color, it’s like it “hummed” a secret note. You record which colors were absorbed and which passed through. No two books hum the same set of notes—even two books with the same title (same chemical formula) but different binding (isomers) will hum differently.  

By the end, you have a **spectrum**: a bar code of dark lines (absorbed colors) on a bright background. That bar code is the molecule’s fingerprint.  

You don’t need to open the book—you just shine your light, listen to the hums, and match the pattern to a known library catalog. That’s infrared absorption spectroscopy: using invisible light to make molecules “sing” their structure, so you can identify them from afar—whether in a drop of blood, a plastic bottle, or the atmosphere of a distant planet.",mmlu_0035_college_biology,Ferns undergo alternation of generations in which a,biology,cross_domain_random_analogy,42
mmlu_0001_college_physics,"White light is normally incident on a puddle of water (index of refraction 1.33). A thin (500 nm) layer of oil (index of refraction 1.5) floats on the surface of the puddle. Of the following, the most strongly reflected wavelength is",A: 500 nm | B: 550 nm | C: 600 nm | D: 650 nm,C,Thin-Film Interference,"{""key_scientific_concept"": ""Thin-Film Interference""}","Imagine a vast, ancient library where every book is a complete set of instructions for building and running a single, specific room in a grand hotel. This library is your body, and each room is a different type of cell—a liver cell, a skin cell, a muscle cell.

Now, the hotel has a strict rule: every room must contain **two identical copies** of the entire library's catalog. Not two different books, but two full, matching sets of every volume. This is the **somatic cell chromosome composition**—the standard ""diploid"" state (2n). One set of books was inherited from the ""father"" (the sperm), and the other from the ""mother"" (the egg). They are paired, like two matching encyclopedias on a shelf, ensuring that if one copy of a page is damaged, the room can still read the other.

However, there are special rooms in the hotel: the reproductive cells (sperm and egg). These are the ""blueprint rooms."" They don't follow the rule. Instead of two full catalogs, they each hold only **one** complete set (the ""haploid"" state, n). This is crucial. When a sperm and egg merge to create a new room (a new individual), their single sets combine to form the standard two-copy catalog again.

So, the somatic cell's chromosome composition is simply this: a matched pair of instruction manuals (one from each parent) in every non-reproductive cell, ensuring redundancy, stability, and the correct genetic recipe for the entire hotel.",False,,generated,deepseek-v4-flash,physics,college_physics,1,"Imagine a pond on a calm evening. You drop two pebbles a few feet apart. Each creates a set of ripples. Where the ripples meet, they don’t just bounce off each other—they *combine*. If a crest from one meets a crest from the other, the water jumps higher. If a crest meets a trough, they cancel out, leaving flat water. This is **interference**.

Now, replace the pond with a **soap bubble**. The bubble’s wall is a *thin film*—a layer of water only a few hundred nanometers thick, sandwiched between two surfaces of air. Light is not a single ripple but a stream of waves. When sunlight hits the bubble, some waves bounce off the **top surface** (the air-water boundary), and some travel through the film, bounce off the **bottom surface** (the water-air boundary), and come back out.

These two reflected waves are like the ripples from your two pebbles. They travel slightly different distances—the second one takes a tiny detour through the film. If that detour is exactly one full wavelength (or a whole number of them), the crests align, and the color is **brightened**. If the detour is half a wavelength, the crests meet troughs, and that color is **canceled out**—you see darkness or a complementary color.

Because the film’s thickness varies (thicker at the bottom, thinner at the top), different colors are canceled or reinforced at different spots. That’s why you see swirling rainbows. The film is a tiny, natural **interference pattern**—a frozen moment of two light waves arguing about whether to add up or wipe each other out.",mmlu_0031_college_biology,Which of the following is typically NOT found in normal somatic cells of a human male?,biology,cross_domain_random_analogy,42
mmlu_0002_college_biology,"To prevent desiccation and injury, the embryos of terrestrial vertebrates are encased within a fluid secreted by the",A: amnion | B: chorion | C: allantois | D: yolk sac,A,Amniotic Egg,"{""key_scientific_concept"": ""Amniotic Egg""}","Imagine a rowdy tug-of-war game played on a frozen lake, but with a twist. The rope is a live electrical wire, and the two teams are invisible forces.

On one side, you have the **Electric Force**—a team of impatient, strong-armed players who yank the wire straight along its length. They want to push the wire forward, no matter what.

On the other side, you have the **Magnetic Force**—a team of slick, sideways-pulling players who can only push the wire perpendicular to both its direction and the direction of the ice’s hidden magnetic field (think of the field as a strong wind blowing across the lake). They can’t pull forward or backward; they can only shove the wire to the left or right.

Now, the wire itself is a heavy, stubborn log. It doesn’t move unless the net pull on it is strong enough to overcome its inertia.

**Lorentz Force Balance** is the moment when the two teams pull with exactly equal strength, but in opposite directions. The electric team yanks forward; the magnetic team shoves sideways. The wire doesn’t accelerate—it just sits there, vibrating slightly, perfectly balanced between the two invisible tugs.

If one team pulls harder, the wire lurches in that direction. But when they’re locked in equilibrium, the wire’s velocity stays constant. This balance is the secret behind devices like mass spectrometers and particle accelerators, where charged particles are steered precisely by tuning the electric and magnetic forces to cancel each other out—letting the particle glide straight through, like a calm log on a frozen lake, held in place by two perfectly matched, invisible teams.",False,,generated,deepseek-v4-flash,biology,college_biology,2,"Think of a **self-contained survival pod** for a space explorer, designed for a long journey to a new planet.

The explorer (the **embryo**) is the precious cargo. They are sealed inside a personal, fluid-filled chamber—this is the **amniotic fluid**, a private, shock-absorbing pool that protects them from bumps and gravity, just like the ocean protected their fish ancestors.

The chamber’s flexible, waterproof wall is the **amnion**, a custom suit that keeps the fluid in and the outside world out. But the explorer can’t breathe liquid, so the pod includes a built-in oxygen tank: the **allantois**, which stores waste and acts as a lung, exchanging gases through the shell.

The entire pod is wrapped in a tough, leathery or hard outer casing—the **shell**. This is the pod’s hull, strong enough to withstand the harsh vacuum of space (or the dry, terrestrial environment) but porous enough to let oxygen in and carbon dioxide out.

Finally, the explorer’s food supply is packed in a separate, yolk-filled pouch—the **yolk sac**—providing all the energy and nutrients for the entire voyage, with no need to stop for refueling.

When the pod lands on the new planet, the explorer cracks open the hull and emerges, fully formed and ready for a life on land. The genius of this pod is that it lets the explorer ""carry their ocean"" with them, freeing them from the water entirely. That’s the amniotic egg: a portable, self-contained ocean that allowed vertebrates to conquer dry land.",mmlu_0028_college_physics,"A proton moves in the +z-direction after being accelerated from rest through a potential difference V. The proton then passes through a region with a uniform electric field E in the +x-direction and a uniform magnetic field B in the +y-direction, but the proton’s trajectory is not affected. If the experiment were repeated using a potential difference of 2V, the proton would then be",physics,cross_domain_random_analogy,42
mmlu_0002_college_chemistry,What is the maximum number of phases that can be at equilibrium with each other in a three component mixture?,A: 2 | B: 3 | C: 4 | D: 5,D,Gibbs Phase Rule,"{""key_scientific_concept"": ""Gibbs Phase Rule""}","Imagine a child on a swing, pumping their legs. At the very top of the arc, they pause for a split second—frozen, high above the ground. At that moment, they have maximum **potential energy**: the stored ""energy of position,"" like a coiled spring or a ball held above your head. They are a bank vault of gravitational promise.

Now, they swoop down. As they fall, that stored energy is *converted*—not created, not destroyed—into **kinetic energy**, the energy of motion. At the very bottom, they are a blur of speed, but their height is lowest. The vault is now empty; all the ""position money"" has been spent on ""motion money.""

Here’s the beautiful rule: the **total** amount of money in the vault plus the motion money is always the same. If you add up the potential and kinetic energy at any single point in the swing, you get the exact same number. The swing doesn't create new energy from nothing, nor does it lose any to the air (in an ideal, frictionless world). It simply shuffles the currency between the two forms.

The swing is a perfect accountant. When it rises again, the motion money is slowly converted back into position money, slowing the child down until they reach the top once more. The cycle repeats, a perfect, endless exchange. Mechanical energy conservation is simply this: **energy is never made or lost in a closed system—it only changes its disguise, from the stillness of height to the rush of speed, and back again.**",False,,generated,deepseek-v4-flash,chemistry,college_chemistry,2,"Imagine a **restaurant kitchen** with a fixed number of ingredients (components, *C*)—say, flour, water, and salt. The kitchen’s menu is governed by a strict rule: the number of dishes you can serve simultaneously (phases, *P*) plus the number of choices you can freely adjust (degrees of freedom, *F*) always equals the number of ingredients plus two. That’s the Gibbs Phase Rule: **F = C – P + 2**.

Now, think of the kitchen’s **thermostat and pressure gauge** as the “+2”—the two knobs (temperature and pressure) you can always turn. If you’re making a single dish (one phase, like a soup), you have lots of freedom: you can tweak the heat, the pressure, and the saltiness. But if you try to serve **two dishes at once** (say, soup and a solid dumpling), you lose one degree of freedom—you can’t change the saltiness independently anymore, because the two phases must stay in balance.

If you insist on serving **three dishes** (soup, steam, and a crust), you lose even more freedom. Now, the rule says you have exactly **zero** choices left: the temperature, pressure, and saltiness are all locked. You’re at a “triple point”—a single, fixed recipe. If you try to add a fourth phase, the equation breaks: you’d need *F* to be negative, which is impossible. The kitchen simply cannot hold that many distinct dishes in equilibrium.

So, Gibbs’ rule is like a cosmic kitchen manager: it tells you how many knobs you can still turn while keeping your culinary (or chemical) system stable. The more phases you juggle, the fewer choices you have—until, at the limit, you’re just a prisoner of the recipe.",mmlu_0017_college_physics,"One end of a horizontal, massless spring is attached to a wall. A mass of 0.30 kg is attached to the other end of the spring and rests on a table. The mass is displaced 0.030 m from its equilibrium position and released. It has a speed of 0.040 m/s as it passes through its equilibrium position. In the absence of friction, what is the total mechanical energy of the system?",physics,cross_domain_random_analogy,42
mmlu_0002_college_physics,Which of the following is true about any system that undergoes a reversible thermodynamic process?,A: There are no changes in the internal energy of the system. | B: The temperature of the system remains constant during the process. | C: The entropy of the system and its environment remains unchanged. | D: The entropy of the system and its environment must increase.,C,Reversible Process Entropy,"{""key_scientific_concept"": ""Reversible Process Entropy""}","**The Molecular Mailroom Sorter**  
Imagine your cell is a busy office building. Floating outside are ""messages"" (growth factors) that need to be delivered inside. But the building has no open doors—only a locked mailroom window.  

**Tyrosine kinase activity** is the **security guard with a special keychain** at that window. When a message arrives, the guard (the receptor) grabs it. But the guard doesn’t just open the door—he **uses his keychain to stamp a series of ""APPROVED"" stickers** onto himself and nearby staff.  

Each sticker is a **phosphate group**, and the stamping action is the *kinase activity*. The guard’s keychain only fits **tyrosine** amino acids (specific spots on the protein), so he stamps only those.  

Once stamped, the guard’s shape changes, and the stickers act like **magnetic hooks**. Now, other proteins inside the office (like ""signal relay teams"") can dock onto those hooks. They, in turn, get stamped and pass the message deeper into the building—eventually telling the CEO (the nucleus) to grow, divide, or change.  

**The catch:** If the guard stamps too much (overactive kinase), the office gets flooded with ""GROW!"" messages—leading to cancer. If he stamps too little, the office ignores important messages—leading to developmental problems.  

So, tyrosine kinase activity is **the precise, repetitive stamping of phosphate stickers on specific protein spots**, turning an external knock into an internal chain reaction. It’s not just opening a door—it’s *authorizing a cascade of handshakes* that changes the building’s entire behavior.",False,,generated,deepseek-v4-flash,physics,college_physics,2,"Think of a perfectly smooth, frictionless pendulum swinging in a vacuum. It never stops. It swings down, converting potential energy to kinetic, then up again, converting kinetic back to potential. It could do this forever, retracing its exact path with no loss.

Now, imagine a **film crew** recording this pendulum. They film it swinging right, then left, then right again. Later, they play the film **backwards**. The pendulum swings left, then right, then left. The motion is *identical* in reverse. There is no way to tell which version is the ""real"" one. This is a **reversible process**.

**Entropy** is the universe's ""film editor."" It measures how much ""irreversibility"" or ""one-way-ness"" is in a system. In the frictionless pendulum, entropy is **constant**. The film plays forward and backward with equal ease. There is no ""arrow of time"" pointing in a preferred direction.

Now, add a tiny bit of **air resistance** or friction at the pivot. The pendulum slowly loses energy, its arc shrinking. Play *this* film backwards. You see a pendulum *growing* its swing, gaining energy from nowhere. It looks absurd. This is an **irreversible process**. The film editor has added a ""stamp"" of entropy—a one-way direction. The energy has been ""degraded"" into heat, which you can't easily gather back to re-swing the pendulum.

So, **reversible process entropy** is the *zero* of this film editor's stamp. It’s the ideal, frictionless state where the ""film"" of time can run perfectly in both directions, with no information lost, no energy degraded, and no permanent ""mark"" left on the universe. It’s a perfect, silent loop—a theoretical ideal we can approach but never truly film.",mmlu_0094_college_biology,Which of the following is encoded by the src oncogene and catalyzes the specific addition of phosphate groups to cellular proteins?,biology,cross_domain_random_analogy,42
mmlu_0003_college_biology,Which of the following is a second messenger that stimulates release of calcium ions into the cytoplasm?,A: Prostaglandins | B: Inositol triphosphate | C: Cyclic AMP | D: Calmodulin,B,IP3 Calcium Signaling,"{""key_scientific_concept"": ""IP3 Calcium Signaling""}","Imagine a crowded dance floor where every dancer is a tiny spinning top. In the world of quantum physics, these dancers are electrons, and their ""spin"" is a fundamental property. Normally, they all spin in a chaotic, uncoordinated way. But in a magnetic field, they line up—some spinning ""up"" (like dancing clockwise) and some ""down"" (counterclockwise).

Now, introduce a second type of dancer: the atomic nucleus. The nucleus is like a heavy, slow-moving partner who also has a spin, but much weaker. When an electron (the light dancer) gets close to a nucleus (the heavy partner), they ""hold hands."" This hand-holding is the **hyperfine interaction**.

Here’s the key: the nucleus’s spin acts like a tiny magnet that either helps or opposes the external magnetic field. If the nucleus spins ""with"" the field, it gives the electron a slight energy boost—like a partner pulling you forward. If it spins ""against"" the field, it drags the electron back, lowering its energy.

Because of this, the electron’s single energy level **splits into two very close levels**—one slightly higher, one slightly lower. This is the **hyperfine splitting**. It’s like the electron’s dance step now has two possible rhythms: a ""fast-forward"" version and a ""slow-motion"" version, depending on which way its partner is spinning.

When you shine light (or microwave radiation) on the electron, it can jump between these two levels, absorbing or emitting a specific frequency. That frequency is the ""signature"" of the hyperfine interaction—a tiny, precise whisper that tells you exactly how the electron and nucleus are dancing together. This is how scientists use EPR (Electron Paramagnetic Resonance) to map the hidden structure of molecules, one delicate spin duet at a time.",False,,generated,deepseek-v4-flash,biology,college_biology,3,"Imagine a bustling city where a single emergency call can mobilize a coordinated response across entire neighborhoods. In your cells, the **IP3 calcium signaling pathway** is that emergency dispatch system.

The **cell membrane** is the city’s outer wall. A **hormone or growth factor** (the emergency caller) knocks on a receptor—the **dispatcher**—at the wall. The dispatcher doesn’t run into the city; instead, it sends a messenger, **IP3** (a small molecule), through the cytoplasm. IP3 is the **courier** who races to a specific warehouse: the **endoplasmic reticulum (ER)**, the cell’s internal calcium storage tank.

The ER’s wall has special doors called **IP3 receptors**. When IP3 arrives, it unlocks these doors, and **calcium ions (Ca²⁺)**—the city’s **firefighters**—flood out into the cytoplasm. This sudden surge of calcium is the signal. It doesn’t just sit there; it spreads like a wave, activating other calcium-sensitive proteins (the **response teams**) that trigger specific actions: muscle contraction, neurotransmitter release, gene expression, or cell growth.

The beauty is in the **amplification**: one knock on the outer wall leads to thousands of calcium ions released inside. And just as a city needs cleanup crews, the cell uses **pumps** to rapidly suck calcium back into the ER, resetting the system. If the courier (IP3) is blocked or the doors are jammed, the signal fails—leading to diseases like heart arrhythmias or cancer. So, IP3 is the key, calcium is the fire, and the ER is the fire station.",mmlu_0013_college_chemistry,What is the ratio of line intensities in the EPR spectrum of the t-Bu radical (CH3)3C•?,chemistry,cross_domain_random_analogy,42
