id,question_stem,choices,answer_key,scientific_concept,raw_concept_output,free_form_analogy,is_defective,defect_reason,generation_status,teacher_model,domain,mmlu_subject,source_index
mmlu_0000_college_biology,"Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to",A: maintain the population at a point corresponding to the midpoint of its logistic curve | B: opt for zero population control once the K value of the curve has been reached | C: reduce the carrying capacity cif the environment to lower the K value | D: increase the mortality rate,C,Logistic Growth Model,"{""key_scientific_concept"": ""Logistic Growth Model""}","**The All-You-Can-Eat Buffet (with a Catch)**  

Imagine a brand-new buffet restaurant opens in a small town. On day one, the first few customers arrive, and word spreads fast. Each new customer tells two friends, who each tell two more. The line grows *explosively*—doubling, tripling, nearly out of control. This is **exponential growth**: the more people there are, the faster the crowd swells.  

But the buffet has a fixed number of tables, a limited kitchen, and only so much food. Soon, the restaurant hits its **carrying capacity**—the maximum number of diners it can serve comfortably. Now, new customers still arrive, but the line moves slower. Tables are full, so people wait. The kitchen struggles to refill trays. Growth *slows down* dramatically.  

At first, the crowd grew like a wildfire. Now, it’s more like a dripping faucet. The number of diners keeps increasing, but by smaller and smaller amounts each day. Eventually, the restaurant reaches a steady state: the number of people entering equals the number leaving. The population of diners plateaus at the buffet’s limit.  

This is the **logistic growth model**: a population starts with rapid, near-exponential growth, then feels the squeeze of limited resources (space, food, time), and finally levels off at a sustainable maximum. The buffet isn’t empty, but it’s no longer overflowing—it’s found its balance.  

*Just like the diners, real populations (bacteria, deer, even human cities) follow this S-shaped curve: boom, then brake, then balance.*",False,,generated,deepseek-v4-flash,biology,college_biology,0
mmlu_0000_college_chemistry,"The rate, r, of a zero-order chemical reaction A → B can be expressed as which of the following?",A: r = k ln[A] | B: r = k [A]^2 | C: r = k [A] | D: r = k,D,Zero-Order Reaction Rate,"{""key_scientific_concept"": ""Zero-Order Reaction Rate""}","Imagine a crowded nightclub with a single, very slow bouncer at the door. The bouncer’s job is to check IDs, but he does it at a fixed, glacial pace—exactly one person every two minutes, no matter what. 

Inside, the dance floor is packed with hundreds of people. The bouncer’s rate of checking IDs doesn’t speed up because the line is long, nor does it slow down when the line is short. He is completely oblivious to the crowd size. Whether there are 500 people inside or just 5, he still checks exactly one ID every two minutes. 

This is a **zero-order reaction**. The ""reaction"" is the bouncer checking IDs (the reactant being the people waiting). The rate—one person per two minutes—is **constant and independent of the concentration** of the reactant (the number of people). 

The only thing that changes is the *time it takes to finish*. With 500 people, it takes 1,000 minutes. With 5 people, it takes just 10 minutes. But the *speed* of the process never wavers. 

In chemistry, this happens when a reaction is limited by a catalyst or a surface that is already saturated—like the bouncer’s single clipboard. Adding more reactant (more people) doesn’t help because the bottleneck is the bouncer’s fixed capacity, not the supply of people. The reaction proceeds at a steady, linear pace until the reactant is suddenly gone, dropping to zero in an instant.",False,,generated,deepseek-v4-flash,chemistry,college_chemistry,0
mmlu_0000_college_physics,"The quantum efficiency of a photon detector is 0.1. If 100 photons are sent into the detector, one after the other, the detector will detect photons","A: an average of 10 times, with an rms deviation of about 4 | B: an average of 10 times, with an rms deviation of about 3 | C: an average of 10 times, with an rms deviation of about 1 | D: an average of 10 times, with an rms deviation of about 0.1",B,Quantum Efficiency,"{""key_scientific_concept"": ""Quantum Efficiency""}","Imagine a **mail-sorting facility** where workers receive envelopes (photons) and must place them into labeled bins (electrical signals). 

**Quantum Efficiency (QE)** is not about how *fast* the workers sort, but about how *accurately* they convert incoming mail into the correct bin. 

In a perfect facility, every single envelope that arrives gets sorted. That’s a QE of 100%. But real facilities have flaws. Some envelopes are torn, some are blank, and some workers are distracted. 

Now, think of a **solar panel** or a **camera sensor**. Every photon that hits it is an envelope. The panel’s job is to convert that photon into an electron (the sorted bin). If 100 photons hit the panel, but only 80 produce electrons, the QE is 80%. The other 20 photons were either reflected off the surface (like a slippery envelope), passed straight through (like a see-through one), or their energy was wasted as heat (like a worker crumpling a letter).

Crucially, QE is **wavelength-dependent**. A red envelope might be easy to see, but a blue one might be too dark for the worker to read. So a sensor might have a QE of 90% for green light, but only 30% for deep red light. 

The key takeaway: **Quantum Efficiency measures the *success rate* of the photon-to-electron conversion process.** It’s the facility’s ""percentage of correctly sorted mail,"" not its speed. A high QE means the device is a brilliant, meticulous sorter—wasting almost no incoming light. A low QE means it’s a sloppy facility, losing valuable information with every missed envelope.",False,,generated,deepseek-v4-flash,physics,college_physics,0
mmlu_0001_college_biology,A frameshift mutation is created when,A: telomeric sequences are removed from DNA | B: a codon's nucleotide sequence changes so that it calls for production of a different amino acid than the original one | C: a base pair is either inserted or deleted in a gene | D: a codon's nucleotide sequence is changed so that instead of coding for a given amino acid it acts to terminate translation,C,Frameshift Mutation Mechanism,"{""key_scientific_concept"": ""Frameshift Mutation Mechanism""}","Imagine a librarian meticulously transcribing a cookbook, but instead of copying words, she copies the letters in groups of three—each triplet spelling a ""word"" that codes for an ingredient. The recipe reads: ""THE RED FOX ATE THE EGG."" She writes: THE RED FOX ATE THE EGG.

Now, a careless visitor sneezes and knocks a single letter off the page—say, the ""E"" in ""THE."" The librarian, unaware, picks up her pen and continues from the next visible letter. But she still groups letters in threes. The new sequence becomes: ""HER EDF OXA TET HEE GG."" Suddenly, every triplet after the missing letter is scrambled. ""HER"" is nonsense, ""EDF"" is nonsense, and the entire rest of the recipe is gibberish. The egg becomes a toxic sludge, the fox turns purple, and the dish is ruined.

This is a **frameshift mutation**. The ""reading frame"" is the fixed triplet grouping. A deletion (or insertion) of one or two nucleotides shifts the entire downstream sequence by one or two spaces, like a misaligned typewriter. Every codon after the mutation is changed, producing a completely different, often nonfunctional protein. It’s not just one wrong word—it’s a catastrophic domino effect that scrambles the whole story from that point onward. The only way to fix it is to delete or insert a matching number of letters to restore the original frame, but cells rarely do that. So, the recipe is lost, and the cell’s function is broken.",False,,generated,deepseek-v4-flash,biology,college_biology,1
mmlu_0001_college_chemistry,Infrared (IR) spectroscopy is useful for determining certain aspects of the structure of organic molecules because,A: all molecular bonds absorb IR radiation | B: IR peak intensities are related to molecular mass | C: most organic functional groups absorb in a characteristic region of the IR spectrum | D: each element absorbs at a characteristic wavelength,C,Infrared Absorption Spectroscopy,"{""key_scientific_concept"": ""Infrared Absorption Spectroscopy""}","**The Library of Molecular Fingerprints**  

Imagine a vast library where every book is a molecule. You can’t read the text, but you can identify each book by its unique “binding style”—the way its pages, covers, and glue vibrate when you tap them.  

Now, you’re a detective with a special flashlight that shines **invisible, warm light** (infrared). You walk down the aisles, shining this light on every book. Most books absorb only a few specific colors of this warm light—each color corresponds to a particular vibration: a stretch of the spine, a bend of a page, a twist of the thread.  

When a book absorbs a color, it’s like it “hummed” a secret note. You record which colors were absorbed and which passed through. No two books hum the same set of notes—even two books with the same title (same chemical formula) but different binding (isomers) will hum differently.  

By the end, you have a **spectrum**: a bar code of dark lines (absorbed colors) on a bright background. That bar code is the molecule’s fingerprint.  

You don’t need to open the book—you just shine your light, listen to the hums, and match the pattern to a known library catalog. That’s infrared absorption spectroscopy: using invisible light to make molecules “sing” their structure, so you can identify them from afar—whether in a drop of blood, a plastic bottle, or the atmosphere of a distant planet.",False,,generated,deepseek-v4-flash,chemistry,college_chemistry,1
mmlu_0001_college_physics,"White light is normally incident on a puddle of water (index of refraction 1.33). A thin (500 nm) layer of oil (index of refraction 1.5) floats on the surface of the puddle. Of the following, the most strongly reflected wavelength is",A: 500 nm | B: 550 nm | C: 600 nm | D: 650 nm,C,Thin-Film Interference,"{""key_scientific_concept"": ""Thin-Film Interference""}","Imagine a pond on a calm evening. You drop two pebbles a few feet apart. Each creates a set of ripples. Where the ripples meet, they don’t just bounce off each other—they *combine*. If a crest from one meets a crest from the other, the water jumps higher. If a crest meets a trough, they cancel out, leaving flat water. This is **interference**.

Now, replace the pond with a **soap bubble**. The bubble’s wall is a *thin film*—a layer of water only a few hundred nanometers thick, sandwiched between two surfaces of air. Light is not a single ripple but a stream of waves. When sunlight hits the bubble, some waves bounce off the **top surface** (the air-water boundary), and some travel through the film, bounce off the **bottom surface** (the water-air boundary), and come back out.

These two reflected waves are like the ripples from your two pebbles. They travel slightly different distances—the second one takes a tiny detour through the film. If that detour is exactly one full wavelength (or a whole number of them), the crests align, and the color is **brightened**. If the detour is half a wavelength, the crests meet troughs, and that color is **canceled out**—you see darkness or a complementary color.

Because the film’s thickness varies (thicker at the bottom, thinner at the top), different colors are canceled or reinforced at different spots. That’s why you see swirling rainbows. The film is a tiny, natural **interference pattern**—a frozen moment of two light waves arguing about whether to add up or wipe each other out.",False,,generated,deepseek-v4-flash,physics,college_physics,1
mmlu_0002_college_biology,"To prevent desiccation and injury, the embryos of terrestrial vertebrates are encased within a fluid secreted by the",A: amnion | B: chorion | C: allantois | D: yolk sac,A,Amniotic Egg,"{""key_scientific_concept"": ""Amniotic Egg""}","Think of a **self-contained survival pod** for a space explorer, designed for a long journey to a new planet.

The explorer (the **embryo**) is the precious cargo. They are sealed inside a personal, fluid-filled chamber—this is the **amniotic fluid**, a private, shock-absorbing pool that protects them from bumps and gravity, just like the ocean protected their fish ancestors.

The chamber’s flexible, waterproof wall is the **amnion**, a custom suit that keeps the fluid in and the outside world out. But the explorer can’t breathe liquid, so the pod includes a built-in oxygen tank: the **allantois**, which stores waste and acts as a lung, exchanging gases through the shell.

The entire pod is wrapped in a tough, leathery or hard outer casing—the **shell**. This is the pod’s hull, strong enough to withstand the harsh vacuum of space (or the dry, terrestrial environment) but porous enough to let oxygen in and carbon dioxide out.

Finally, the explorer’s food supply is packed in a separate, yolk-filled pouch—the **yolk sac**—providing all the energy and nutrients for the entire voyage, with no need to stop for refueling.

When the pod lands on the new planet, the explorer cracks open the hull and emerges, fully formed and ready for a life on land. The genius of this pod is that it lets the explorer ""carry their ocean"" with them, freeing them from the water entirely. That’s the amniotic egg: a portable, self-contained ocean that allowed vertebrates to conquer dry land.",False,,generated,deepseek-v4-flash,biology,college_biology,2
mmlu_0002_college_chemistry,What is the maximum number of phases that can be at equilibrium with each other in a three component mixture?,A: 2 | B: 3 | C: 4 | D: 5,D,Gibbs Phase Rule,"{""key_scientific_concept"": ""Gibbs Phase Rule""}","Imagine a **restaurant kitchen** with a fixed number of ingredients (components, *C*)—say, flour, water, and salt. The kitchen’s menu is governed by a strict rule: the number of dishes you can serve simultaneously (phases, *P*) plus the number of choices you can freely adjust (degrees of freedom, *F*) always equals the number of ingredients plus two. That’s the Gibbs Phase Rule: **F = C – P + 2**.

Now, think of the kitchen’s **thermostat and pressure gauge** as the “+2”—the two knobs (temperature and pressure) you can always turn. If you’re making a single dish (one phase, like a soup), you have lots of freedom: you can tweak the heat, the pressure, and the saltiness. But if you try to serve **two dishes at once** (say, soup and a solid dumpling), you lose one degree of freedom—you can’t change the saltiness independently anymore, because the two phases must stay in balance.

If you insist on serving **three dishes** (soup, steam, and a crust), you lose even more freedom. Now, the rule says you have exactly **zero** choices left: the temperature, pressure, and saltiness are all locked. You’re at a “triple point”—a single, fixed recipe. If you try to add a fourth phase, the equation breaks: you’d need *F* to be negative, which is impossible. The kitchen simply cannot hold that many distinct dishes in equilibrium.

So, Gibbs’ rule is like a cosmic kitchen manager: it tells you how many knobs you can still turn while keeping your culinary (or chemical) system stable. The more phases you juggle, the fewer choices you have—until, at the limit, you’re just a prisoner of the recipe.",False,,generated,deepseek-v4-flash,chemistry,college_chemistry,2
mmlu_0002_college_physics,Which of the following is true about any system that undergoes a reversible thermodynamic process?,A: There are no changes in the internal energy of the system. | B: The temperature of the system remains constant during the process. | C: The entropy of the system and its environment remains unchanged. | D: The entropy of the system and its environment must increase.,C,Reversible Process Entropy,"{""key_scientific_concept"": ""Reversible Process Entropy""}","Think of a perfectly smooth, frictionless pendulum swinging in a vacuum. It never stops. It swings down, converting potential energy to kinetic, then up again, converting kinetic back to potential. It could do this forever, retracing its exact path with no loss.

Now, imagine a **film crew** recording this pendulum. They film it swinging right, then left, then right again. Later, they play the film **backwards**. The pendulum swings left, then right, then left. The motion is *identical* in reverse. There is no way to tell which version is the ""real"" one. This is a **reversible process**.

**Entropy** is the universe's ""film editor."" It measures how much ""irreversibility"" or ""one-way-ness"" is in a system. In the frictionless pendulum, entropy is **constant**. The film plays forward and backward with equal ease. There is no ""arrow of time"" pointing in a preferred direction.

Now, add a tiny bit of **air resistance** or friction at the pivot. The pendulum slowly loses energy, its arc shrinking. Play *this* film backwards. You see a pendulum *growing* its swing, gaining energy from nowhere. It looks absurd. This is an **irreversible process**. The film editor has added a ""stamp"" of entropy—a one-way direction. The energy has been ""degraded"" into heat, which you can't easily gather back to re-swing the pendulum.

So, **reversible process entropy** is the *zero* of this film editor's stamp. It’s the ideal, frictionless state where the ""film"" of time can run perfectly in both directions, with no information lost, no energy degraded, and no permanent ""mark"" left on the universe. It’s a perfect, silent loop—a theoretical ideal we can approach but never truly film.",False,,generated,deepseek-v4-flash,physics,college_physics,2
mmlu_0003_college_biology,Which of the following is a second messenger that stimulates release of calcium ions into the cytoplasm?,A: Prostaglandins | B: Inositol triphosphate | C: Cyclic AMP | D: Calmodulin,B,IP3 Calcium Signaling,"{""key_scientific_concept"": ""IP3 Calcium Signaling""}","Imagine a bustling city where a single emergency call can mobilize a coordinated response across entire neighborhoods. In your cells, the **IP3 calcium signaling pathway** is that emergency dispatch system.

The **cell membrane** is the city’s outer wall. A **hormone or growth factor** (the emergency caller) knocks on a receptor—the **dispatcher**—at the wall. The dispatcher doesn’t run into the city; instead, it sends a messenger, **IP3** (a small molecule), through the cytoplasm. IP3 is the **courier** who races to a specific warehouse: the **endoplasmic reticulum (ER)**, the cell’s internal calcium storage tank.

The ER’s wall has special doors called **IP3 receptors**. When IP3 arrives, it unlocks these doors, and **calcium ions (Ca²⁺)**—the city’s **firefighters**—flood out into the cytoplasm. This sudden surge of calcium is the signal. It doesn’t just sit there; it spreads like a wave, activating other calcium-sensitive proteins (the **response teams**) that trigger specific actions: muscle contraction, neurotransmitter release, gene expression, or cell growth.

The beauty is in the **amplification**: one knock on the outer wall leads to thousands of calcium ions released inside. And just as a city needs cleanup crews, the cell uses **pumps** to rapidly suck calcium back into the ER, resetting the system. If the courier (IP3) is blocked or the doors are jammed, the signal fails—leading to diseases like heart arrhythmias or cancer. So, IP3 is the key, calcium is the fire, and the ER is the fire station.",False,,generated,deepseek-v4-flash,biology,college_biology,3
